Season,SRS,SOS,Team_Id
2004,15.7,7.58,1435
2007,12.76,7.79,1435
2008,10.96,5.54,1435
2010,15.24,7.86,1435
2012,15.71,8.04,1435
2011,15.1,6.86,1435
2016,17.2,8.68,1435
2017,13.79,10.68,1435
2003,-1.32,-4.85,1436
2004,-2.75,-6.36,1436
2005,7.8,-1.95,1436
2010,-1.26,-6.69,1436
2012,0.98,-5.19,1436
2017,6.75,-3.8,1436
2005,19.06,8.43,1437
2006,19.51,9.23,1437
2007,16.13,9.16,1437
2008,11.0,7.69,1437
2009,17.45,8.72,1437
2010,16.72,7.75,1437
2011,15.05,8.23,1437
2013,10.74,8.53,1437
2014,18.97,7.5,1437
2015,23.13,7.55,1437
2016,24.08,9.71,1437
2017,24.75,9.87,1437
2007,12.89,7.96,1438
2012,12.51,4.23,1438
2014,18.38,7.86,1438
2015,21.73,7.81,1438
2016,22.04,11.12,1438
2017,22.29,11.32,1438
2004,6.8,-0.17,1433
2007,9.5,0.2,1433
2009,7.7,-0.65,1433
2012,8.79,0.63,1433
2011,8.56,3.78,1433
2013,16.89,4.47,1433
2014,14.55,4.78,1433
2015,12.79,6.1,1433
2016,13.83,4.35,1433
2017,12.04,3.78,1433
2007,14.35,8.26,1439
2017,13.57,8.73,1439
2003,-3.33,-6.48,1447
2003,16.96,6.96,1448
2004,18.45,11.03,1448
2005,20.24,10.27,1448
2009,15.63,7.36,1448
2010,11.45,8.85,1448
2017,14.8,10.41,1448
2004,9.46,6.43,1449
2005,19.77,7.66,1449
2006,18.08,5.96,1449
2009,16.78,8.19,1449
2010,15.64,7.49,1449
2011,20.12,7.74,1449
2007,13.33,6.0,1450
2008,16.35,6.35,1450
2003,4.56,-2.01,1451
2007,-4.03,-3.33,1451
2014,-0.92,-4.23,1451
2016,0.18,-5.13,1451
2005,11.76,7.62,1452
2006,14.51,8.54,1452
2008,17.97,7.16,1452
2009,18.57,8.34,1452
2010,19.16,10.26,1452
2012,12.13,7.53,1452
2011,16.15,11.03,1452
2015,15.12,9.29,1452
2016,21.61,9.78,1452
2017,24.87,9.22,1452
2003,7.71,1.4,1443
2008,9.34,0.24,1443
2009,3.68,-1.23,1443
2012,-2.66,0.51,1443
2013,-0.65,-1.14,1443
2004,12.31,-0.11,1444
2014,1.73,-1.45,1444
2006,11.45,4.72,1455
2012,17.42,3.8,1455
2013,14.68,6.09,1455
2014,16.65,1.74,1455
2015,15.56,3.68,1455
2016,17.39,4.24,1455
2017,21.54,2.24,1455
2005,0.48,-6.65,1457
2006,6.28,-4.93,1457
2007,9.17,-1.2,1457
2008,3.61,-1.45,1457
2010,-8.68,-7.31,1457
2017,1.61,-6.49,1457
2003,17.48,6.51,1458
2004,18.96,7.49,1458
2005,16.76,9.61,1458
2006,13.14,7.24,1458
2007,19.28,6.95,1458
2008,19.59,6.73,1458
